id,date,postcode,property_type,whether_old_or_new,freehold_or_leasehold,address1,address2,address3,town,local_aut,county,region,type1,type2,postcode_short,price,total_floor_area,current_energy_rating,co2_emissions_current,co2_emissions_potential,energy_consumption_current,energy_consumption_potential,windows_energy_eff,tenure,district,latitude,longitude,altitude,london_zone,nearest_station,distance_to_station,water_company,average_income,pricePerSqmtr
{9DBAD222-2B84-6EB3-E053-6B04A8C0F257},2020-01-06T00:00:00Z,BR1 1AA,F,N,L,HENRY HOUSE,FLAT 19,RINGERS ROAD,NA,BROMLEY,BROMLEY,GREATER LONDON,A,A,BR1,146000,66,B,0.7,0.7,64,64,Very Good,unknown,Bromley,51.401546,0.015415,71,5,Bromley South,0.218257,Thames Water,63100,2212.121212
{7E86B6FB-423C-458C-E053-6B04A8C0C84C},2018-11-30T00:00:00Z,BR1 1AA,F,N,L,HENRY HOUSE,FLAT 28,RINGERS ROAD,NA,BROMLEY,BROMLEY,GREATER LONDON,A,A,BR1,99000,50,B,0.6,0.6,68,68,Very Good,owner-occupied,Bromley,51.401546,0.015415,71,5,Bromley South,0.218257,Thames Water,63100,1980
{9DBAD222-2B0C-6EB3-E053-6B04A8C0F257},2019-12-09T00:00:00Z,BR1 1AB,F,N,L,"THE OLD POST OFFICE, 3B",APARTMENT 1,EAST STREET,NA,BROMLEY,BROMLEY,GREATER LONDON,A,A,BR1,445000,64.72,C,1.9,1.9,151,151,Good,owner-occupied,Bromley,51.406333,0.015208,71,4,Bromley North,0.253666,Thames Water,56100,6875.772559
{2AC10E4F-F818-1AF6-E050-A8C063052BA1},2015-12-18T00:00:00Z,BR1 1AB,F,N,L,"THE OLD POST OFFICE, 3B",APARTMENT 1,EAST STREET,NA,BROMLEY,BROMLEY,GREATER LONDON,A,A,BR1,425000,64.72,C,1.9,1.9,151,151,Good,owner-occupied,Bromley,51.406333,0.015208,71,4,Bromley North,0.253666,Thames Water,56100,6566.749073
{597E86F9-2751-4A98-817B-8799AAEFDB46},2012-04-12T00:00:00Z,BR1 1AB,F,N,L,"THE OLD POST OFFICE, 3B",APARTMENT 1,EAST STREET,NA,BROMLEY,BROMLEY,GREATER LONDON,A,A,BR1,300000,64.72,C,1.9,1.9,151,151,Good,owner-occupied,Bromley,51.406333,0.015208,71,4,Bromley North,0.253666,Thames Water,56100,4635.352287
{21E5FEB7-5B1D-2439-E050-A8C06205342E},2015-02-26T00:00:00Z,BR1 1AB,F,N,L,"THE OLD POST OFFICE, 3B",APARTMENT 3,EAST STREET,NA,BROMLEY,BROMLEY,GREATER LONDON,B,A,BR1,240000,70.35,C,2,2,146,146,Good,owner-occupied,Bromley,51.406333,0.015208,71,4,Bromley North,0.253666,Thames Water,56100,3411.513859
{31DFBAB0-C76B-4F84-BFA9-2023DFE5120F},2012-04-04T00:00:00Z,BR1 1AB,F,Y,L,"THE OLD POST OFFICE, 3B",APARTMENT 3,EAST STREET,NA,BROMLEY,BROMLEY,GREATER LONDON,A,A,BR1,215000,70.35,C,2,2,146,146,Good,owner-occupied,Bromley,51.406333,0.015208,71,4,Bromley North,0.253666,Thames Water,56100,3056.147832
{E953E0D9-504B-4A67-8C41-E9E95FE50F75},2012-03-23T00:00:00Z,BR1 1AB,F,Y,L,"THE OLD POST OFFICE, 3B",APARTMENT 4,EAST STREET,NA,BROMLEY,BROMLEY,GREATER LONDON,A,A,BR1,232000,74.47,C,2.3,2.3,162,162,Good,owner-occupied,Bromley,51.406333,0.015208,71,4,Bromley North,0.253666,Thames Water,56100,3115.348462
{FE885678-1054-40D2-819E-14DA6DDB0E20},2012-04-23T00:00:00Z,BR1 1AB,F,N,L,"THE OLD POST OFFICE, 3B",APARTMENT 5,EAST STREET,NA,BROMLEY,BROMLEY,GREATER LONDON,A,A,BR1,265000,64.72,C,1.5,1.5,118,118,Good,owner-occupied,Bromley,51.406333,0.015208,71,4,Bromley North,0.253666,Thames Water,56100,4094.561187
{7F228CDE-BED9-443F-AD1E-31486F1537E1},2015-06-30T00:00:00Z,BR1 1AB,F,N,L,"THE OLD POST OFFICE, 3B",APARTMENT 6,EAST STREET,NA,BROMLEY,BROMLEY,GREATER LONDON,A,A,BR1,330500,64.72,C,1.5,1.5,118,118,Good,owner-occupied,Bromley,51.406333,0.015208,71,4,Bromley North,0.253666,Thames Water,56100,5106.613103
{42537381-B9F8-428C-8BE0-895C6E30CC95},2012-04-04T00:00:00Z,BR1 1AB,F,Y,L,"THE OLD POST OFFICE, 3B",APARTMENT 6,EAST STREET,NA,BROMLEY,BROMLEY,GREATER LONDON,A,A,BR1,250000,64.72,C,1.5,1.5,118,118,Good,owner-occupied,Bromley,51.406333,0.015208,71,4,Bromley North,0.253666,Thames Water,56100,3862.793572
